Date;Year;Month;Type;sentiment;sentiment_score;sentence
2019-01-10;2019;January;REPORT;Neutral;0.9449552893638611;account of the monetary policy meeting of the governing council of the european central bank held in frankfurt am main on wednesday and thursday 1213 december 2018 1 review of financial economic and monetary developments and policy options financial market developments mr cœuré reviewed the latest financial market developments
2019-01-10;2019;January;REPORT;Negative;0.9951992630958557;since the governing councils previous monetary policy meeting on 2425 october 2018 there were growing signs that investors were becoming more concerned about the global growth outlook reflecting both the weakness in recent economic data in many jurisdictions and continuing geopolitical tensions
2019-01-10;2019;January;REPORT;Negative;0.9951098561286926;these concerns had added to market volatility and likely contributed to a marked drop in global stock prices
2019-01-10;2019;January;REPORT;Neutral;0.6224968433380127;corporate bond spreads both in the united states and in the euro area had widened too in particular for bonds with lower credit quality
2019-01-10;2019;January;REPORT;Negative;0.9949518442153931;in euro area government bond markets yields on bonds of the highest credit quality had declined to levels seen early in 2018 reflecting both a demand for safety and a fall in inflation expectations
2019-01-10;2019;January;REPORT;Negative;0.9873020648956299;part of the fall in inflation expectations likely echoed a measurable drop in oil prices in recent weeks which were down by 30 on early october
2019-01-10;2019;January;REPORT;Negative;0.9940144419670105;a modelbased decomposition of oil price movements indicated that factors of both supply and demand had likely contributed to the decline in oil prices
2019-01-10;2019;January;REPORT;Positive;0.6631868481636047;euro area sovereign bond spreads had eased somewhat from recent highs
2019-01-10;2019;January;REPORT;Neutral;0.7861568927764893;however yield spreads between the tenyear italian government bond and its german equivalent remained at elevated levels of slightly below 300 basis points
2019-01-10;2019;January;REPORT;Neutral;0.9641455411911011;contagion from italy to other euro area sovereign bond markets remained contained
2019-01-10;2019;January;REPORT;Negative;0.9925163388252258;turning to euro area equity markets two broad factors were seen to have accounted for the recent correction a rise in the equity risk premium which was consistent with the growing demand for safehaven assets in global bond markets and a downward revision in earnings expectations
2019-01-10;2019;January;REPORT;Negative;0.9718784093856812;in the united states by contrast earnings expectations were seen to have continued to push stock prices higher while the increase in the equity risk premium had pulled us stocks lower
2019-01-10;2019;January;REPORT;Negative;0.9840841889381409;finally with regard to monetary policy expectations in the euro area both survey results and marketbased evidence were signalling a pushback in the expectations for the timing of a first rise in key ecb interest rates and in the subsequent expected future path of shortterm interest rates
2019-01-10;2019;January;REPORT;Neutral;0.977374255657196;at longer tenors market pricing had exhibited a more pronounced adjustment which could have also reflected changes in risk premia
2019-01-10;2019;January;REPORT;Neutral;0.9784908294677734;the global environment and economic and monetary developments in the euro area mr praet reviewed the global environment and recent economic and monetary developments in the euro area
2019-01-10;2019;January;REPORT;Negative;0.9948710203170776;regarding the external environment global growth momentum was moderating and global trade growth stabilising
2019-01-10;2019;January;REPORT;Negative;0.9417330622673035;global survey indicators pointed to a deceleration in economic activity in the second half of 2018 the global composite output purchasing managers index pmi had increased somewhat in november but overall still pointed to a weakening of growth relative to the first half of 2018 the latest indicators on trade gave mixed signals while pointing overall towards broad stabilisation
2019-01-10;2019;January;REPORT;Neutral;0.9522921442985535;the volume of goods imports had increased in september
2019-01-10;2019;January;REPORT;Negative;0.9533960819244385;however the global pmi for new export orders in the manufacturing sector remained slightly below 50 in november
2019-01-10;2019;January;REPORT;Neutral;0.9920902252197266;annual consumer price inflation in the oecd area had picked up in october
2019-01-10;2019;January;REPORT;Neutral;0.9340227842330933;excluding energy and food inflation had remained largely stable
2019-01-10;2019;January;REPORT;Negative;0.9184730052947998;wage dynamics appeared to have gained momentum since the turn of 201718 with annual growth in compensation per employee reaching 29 in the third quarter of 2018 brent crude oil prices had declined markedly since the 2425 october meeting as oil production had increased and growth in oil demand was expected to slow
2019-01-10;2019;January;REPORT;Neutral;0.991278350353241;over the same period aggregate nonoil commodity prices had decreased by 3 while the euro exchange rate was broadly unchanged both against the us dollar and in nominal effective terms
2019-01-10;2019;January;REPORT;Negative;0.9944779872894287;turning to the euro area growth in economic activity had slowed further on account of weaker external demand and also sector and countryspecific factors
2019-01-10;2019;January;REPORT;Negative;0.7601619958877563;eurostats second release had put euro area real gdp growth in the third quarter of 2018 at 02 in quarteronquarter terms down from 04 in each of the previous two quarters
2019-01-10;2019;January;REPORT;Negative;0.9925225377082825;data that had become available since the governing councils previous monetary policy meeting had been weaker than expected
2019-01-10;2019;January;REPORT;Neutral;0.9049070477485657;at the same time the fundamental factors supporting the economic expansion remained in place
2019-01-10;2019;January;REPORT;Positive;0.9298917055130005;in the medium term private consumption was expected to remain resilient reflecting mainly continued growth in compensation of employees which  over time  was expected to be driven more by growth in compensation per employee and less by employment growth
2019-01-10;2019;January;REPORT;Positive;0.9918758869171143;business investment was expected to continue growing at a solid pace supported by favourable earnings expectations resilient domestic demand and favourable financing conditions
2019-01-10;2019;January;REPORT;Negative;0.9922972321510315;however the ongoing uncertainty surrounding global trade and tariffs was likely to be a factor weighing on business investment
2019-01-10;2019;January;REPORT;Neutral;0.9900721311569214;this assessment was broadly reflected in the december 2018 eurosystem staff macroeconomic projections for the euro area
2019-01-10;2019;January;REPORT;Negative;0.7630341053009033;these projections foresaw annual real gdp increasing by 19 in 2018 17 in 2019 17 in 2020 and 15 in 2021 compared with the september 2018 ecb staff macroeconomic projections the outlook for real gdp growth had been revised slightly down for 2018 and 2019 turning to price developments according to eurostats flash estimate euro area annual hicp inflation had declined to 20 in november 2018 from 22 in october reflecting mainly a decline in energy inflation
2019-01-10;2019;January;REPORT;Negative;0.992493748664856;hicp inflation excluding energy and food was also lower edging down to 10 in november from 11 in october owing to a slowing in the services component
2019-01-10;2019;January;REPORT;Negative;0.8297225832939148;meanwhile a broader range of underlying inflation measures had continued to move sideways
2019-01-10;2019;January;REPORT;Negative;0.9819576740264893;incoming data pointed to building wage pressures which were expected to support an upward adjustment in underlying inflation
2019-01-10;2019;January;REPORT;Positive;0.8066713809967041;annual growth in compensation per employee was 25 in the third quarter of 2018 up from 22 in the second quarter
2019-01-10;2019;January;REPORT;Neutral;0.9156806468963623;the increase had continued to be broadbased both across sectors and across countries
2019-01-10;2019;January;REPORT;Negative;0.9423303604125977;according to the december eurosystem staff projections hicp inflation was projected to decrease from 18 in 2018 to 16 in 2019 before gradually increasing to 17 in 2020 and 18 in 2021 this drawnout vshaped pattern reflected two offsetting trends over time a decline in the annual rate of growth of the energy component as the impact of past increases in oil prices faded and gradually rising underlying inflation on account of an increasingly positive output gap in the context of rising supply constraints and tightening labour markets
2019-01-10;2019;January;REPORT;Negative;0.9642632603645325;compared with the september 2018 ecb staff projections the outlook for hicp inflation had been revised up by 01 percentage point for 2018 and down by 01 percentage point for 2019 while it remained unchanged for 2020 marketbased measures of inflation expectations had fallen somewhat since the 2425 october monetary policy meeting mostly in response to the steep decline in the price of oil
2019-01-10;2019;January;REPORT;Negative;0.6728936433792114;the fiveyear forward inflationlinked swap rate five years ahead stood at 16 slightly lower than the level prevailing at the time of the october meeting
