sentence;sentiment
federal open market committee held on december 17, 1996, were approved.;neutral
the committee also discussed its long-standing practice of releasing the minutes a few days after the meeting at which they were approved, usually on the following friday.;neutral
the members agreed with a proposal to advance the normal release to thursday to facilitate the dissemination and public understanding of these decisions.the manager of the system open market account reported on developments in foreign exchange markets since the meeting on december 17, 1996. there were no transactions in foreign currencies for system account during this period, and thus no vote was required of the committee.the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period december 18, 1996, through february 4, 1997. by unanimous vote, the committee ratified these transactions.the manager advised the committee that the anticipated pattern of reserve needs was such that he might want to add considerably to the system's outright holdings of u.s. government securities over the coming intermeeting period.;neutral
by unanimous vote, the committee amended paragraph 1(a) of the authorization for domestic open market operations to raise the limit on intermeeting changes in such holdings from $8 billion to $12 billion for the period ending with the close of business on the date of the next meeting, march 25, 1997.the committee then turned to a discussion of the economic and financial outlook, the ranges for the growth of money and debt in 1997, and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that the growth of the economy had strengthened markedly in the fourth quarter of 1996. to a large extent the gain in final demand during the quarter reflected a surge in exports, but consumer spending also increased substantially after having risen at a much reduced pace in the third quarter.;positive
despite some slowing in the growth of business fixed investment and some easing in housing activity, the overall economy had expanded briskly as reflected in data on production and employment.;positive
the tightness in labor markets had persisted and was evidenced by some continued acceleration in labor compensation in the fourth quarter.;positive
there was no discernible change in the underlying trend in price inflation, although a spurt in energy prices had resulted in faster increases in overall consumer and producer prices than in the third quarter.private payroll employment rose appreciably further in december after recording sizable increases over october and november.;positive
the gains remained widespread among employment categories and continued to be led by large advances in the services and trade industries.;positive
aggregate hours of private production workers and the average workweek edged higher in the fourth quarter.;positive
the civilian unemployment rate was unchanged in december at 5.3 percent, its average level for the second half of the year.return to topindustrial production increased sharply in november and december.;positive
the gains in december were widely distributed across manufacturing industries, but were held down by a steep decline in the output of utilities after a surge in november.;negative
the production of aircraft and parts extended a strong uptrend.;positive
the utilization of total manufacturing capacity rose considerably further in december, to a level slightly above its long-term average.consumer spending registered a sizable increase over the fourth quarter after having grown little during the summer.;positive
in december total nominal retail sales rose considerably following a small decline in november.;positive
the december increases were spread across all major categories except for some further decline in sales of building materials and supplies.;negative
the most recent data on services expenditures pointed to moderate advances in october and november.;positive
surveys indicated that consumer confidence had remained elevated in late 1996 and early 1997.housing starts fell appreciably in december, evidently reflecting unusually adverse weather conditions in several parts of the country, and were down somewhat for the fourth quarter as a whole.;negative
the declines were concentrated in single-family units.;negative
permits for new home construction were little changed in december but edged lower for the fourth quarter as a whole.;negative
available data indicated a somewhat slower pace of sales of new and existing homes in the fourth quarter.growth of business fixed investment moderated considerably in the fourth quarter after advancing sharply in the previous quarter.;positive
the slowdown reflected a small decline in spending on producer durable equipment that was more than offset by an apparent surge in outlays for nonresidential structures.;negative
