sentence;sentiment
federal open market committee held on november 15, 1994, were approved.by unanimous vote, the committee elected mark s. sniderman as associate economist from the federal reserve bank of cleveland to serve until the next election at the first meeting of the committee after december 31, 1994, with the understanding that in the event he discontinued his official connection with the federal reserve bank of cleveland, he would cease to have any official connection with the federal open market committee.the manager for foreign operations reported on developments in foreign exchange markets since the november meeting.;neutral
there were no system open market transactions in foreign currencies during this period, and thus no vote was required of the committee.the manager for domestic operations reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period november 15, 1994, through december 19, 1994. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested a further pickup in economic growth in recent months.;negative
consumer spending, supported by strong expansion of employment and income and by buoyant consumer sentiment, remained robust.;positive
business capital spending and exports were rising briskly.;positive
payroll employment remained on a strong upward trend, and industrial output posted further substantial gains.;positive
broad indexes of prices of consumer goods and services increased moderately on average over recent months, although prices of many industrial materials and intermediate supplies continued to move up rapidly.nonfarm payroll employment rose sharply in november after an appreciable expansion in october.;positive
job gains in the service-producing sector were stronger in november than in october, as a pickup in hiring in business services more than offset slower growth in health services and retail trade.;positive
employment in manufacturing recorded another sizable advance in november, with increases widespread by industry.;positive
hiring in construction was up considerably in november after a small gain in october.;positive
job growth outpaced the expansion of the labor force in november, and the civilian unemployment rate declined to 5.6 percent.industrial production, led by further increases in manufacturing output, registered another large gain in november.;negative
among major market groups, production of business equipment surged and sizable increases were recorded for the output of materials and construction supplies.;positive
with the growth of production outpacing the expansion of capacity in november, the rate of utilization of total industrial capacity moved up further from an already high level.retail sales continued to rise rapidly in november.;positive
sales were up solidly at most types of stores, but gains were particularly large at durable goods outlets.;positive
consumer spending on services also had grown significantly in october (latest data), with advances widespread among categories of services.;positive
housing starts increased appreciably in november, when construction activity apparently was boosted by favorable weather in some parts of the country.;positive
multifamily starts rose in november to their highest level in four years, while single-family starts retraced a large part of their october decline.business capital spending remained on a pronounced upward trend.;positive
shipments of nondefense capital goods other than aircraft were up slightly further in october after having advanced sharply in the two previous months shipments of computing equipment were brisk in october, while shipments of other capital goods were little changed.;positive
with regard to transportation equipment, outlays for aircraft continued to trend lower in october, while sales of heavy trucks rose appreciably.;negative
recent data on orders for nondefense capital goods pointed to continued vigorous expansion of spending on business equipment.;positive
nonresidential construction activity advanced further in october, led by higher spending for institutional and public utility structures.;positive
the uptrend in permits suggested further advances in nonresidential construction.business inventory investment was relatively robust in october.;positive
manufacturing inventories rebounded after a small decline in september a sizable amount of the october increase occurred at firms producing computers, office machinery, and telecommunications equipment for which demand had been strong.;positive
for manufacturing as a whole, the stocks-to-shipments ratio remained near a historically low level.;negative
wholesale inventories continued to climb at a pace in line with sales, and the inventory-to-sales ratio for this sector stayed near the middle of its range over recent years.;positive
retail inventory accumulation slowed substantially in october much of the slowdown reflected a sharp drop in stocks at automotive dealerships.;negative
with sales up sharply, the inventory-to-sales ratio for the retail sector fell in october and remained near the middle of its range over recent years.the nominal deficit on u.s. trade in goods and services widened somewhat in october from its september level and from its average rate for the third quarter.;negative
the increase in the deficit from september's level reflected a small decline in the value of exports of goods and services, which resulted primarily from reduced aircraft shipments, and a small rise in the value of imports.;negative
economic activity in the major foreign industrial countries continued to expand rapidly in the third quarter, and available indicators generally suggested further substantial gains in the fourth quarter.despite further sizable increases in the prices of many goods at the early stages of processing, inflation at the consumer level remained moderate in october and november.;positive
energy prices were unchanged on balance over the two months, while food prices edged higher.;positive
excluding food and energy items, consumer prices advanced at a slightly slower rate over october and november than in earlier months of the year and also increased a little less over the twelve months ended in november than over the comparable year-earlier period.;negative
