sentence;sentiment
federal open market committee held on may 17, 1994, were approved.the manager for foreign operations reported on developments in foreign exchange markets and on system open market transactions in foreign currencies during the period may 17, 1994, to july 5, 1994.the committee ratified these transactions.votes for this action:messrs. greenspan, mcdonough, blinder, broaddus, forrestal, kelley, laware, parry, and ms. phillips.votes against this action:messrs. jordan and lindsey.messrs.;neutral
jordan and lindsey dissented from this action, although they agreed that the foreign exchange transactions conducted during the intermeeting period were authorized under the committee's rules.;neutral
their dissents were based on their strong reservations about the efficacy of sterilized intervention in most circumstances, including those prevailing during the intermeeting period.;negative
in their view, to the extent that repeated intervention failed to achieve stated or perceived objectives, questions would tend to arise about the credibility of monetary policy more generally.the manager for domestic operations reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period may 17, 1994, to july 5, 1994. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that economic activity recorded another substantial gain in the second quarter.;positive
although consumer spending and homebuying apparently had increased at a slower pace, business spending on durable equipment remained quite strong and investment in nonresidential structures rebounded from a weather-depressed level in the first quarter.;positive
in addition, the rate of nonfarm inventory investment evidently had picked up in the second quarter.;positive
levels of resource utilization had risen further: factory operating rates were at relatively high levels, and the slack in labor markets had narrowed considerably over the first half of the year to what appeared to be very low levels.;positive
increases in consumer and producer prices had remained moderate in recent months, but prices of many basic industrial materials had risen.nonfarm payroll employment advanced somewhat less rapidly in may after the brisk increases of recent months however, the average workweek of production and nonsupervisory workers reached its highest level since 1987. the reduction in job gains was widespread by sector--including business services finance, insurance, and real estate manufacturing and construction.;negative
employment in transportation rebounded, reflecting the end of a teamsters strike.;positive
the civilian unemployment rate, measured on the new basis introduced in january, declined sharply in may, to 6.0 percent the decline might have been overstated as a result of seasonal adjustment problems, but even after correcting for these factors, the unemployment rate had fallen sharply since late 1993.the rise in industrial production slackened in april and may after strong first-quarter gains.;negative
much of the slowing was the result of capacity constraints that prevented normal seasonal increases in the production of motor vehicles.;negative
growth of output of manufactured goods other than motor vehicles and parts was at a slightly less robust pace than in the first quarter but close to the rapid rate seen in 1993 business equipment and construction supplies continued to be areas of strength.;positive
the overall rate of utilization in manufacturing stayed at a high level in may, with most major industry groups operating at or near capacity.;positive
in addition to motor vehicles, capacity constraints were evident in the petroleum products and nonelectrical machinery industry groups and in some individual product lines in other industries.real personal consumption expenditures fell on balance in april and may after a strong advance earlier in the year, but the level of expenditures for the two months combined was a little above the first-quarter average.;negative
the recent slowdown in consumer spending in large part reflected reduced outlays for motor vehicles.;negative
spending for durable goods other than motor vehicles increased over april and may at about the first-quarter pace.;positive
outlays for nondurable goods were down on balance in april and may, while spending for services in may more than reversed a small april decline.;negative
housing activity had rebounded from weather disruptions early in the year to a pace close to the elevated fourth-quarter rate.;positive
single-family starts edged down in may after declining substantially in april but were still at a relatively high level.;negative
while the cash-flow affordability of home ownership had fallen since late last year, it remained at favorable levels in comparison with recent years.;negative
multifamily starts in may were at their highest level in more than three years most of the pickup occurred in the south, where vacancy rates had declined recently.shipments of nondefense capital goods other than aircraft and parts posted a further solid gain in may, although the upward trend appeared to have moderated in recent months.;positive
sales of heavy trucks also were strong in april and may.;positive
shipments of aircraft declined sharply in april (latest available data), retracing much of a march surge.;negative
available data on orders for nondefense capital goods pointed to a continued strong uptrend in business spending on durable equipment.;positive
nonresidential construction picked up in april and may from a weather-depressed slump in the first quarter.business inventories increased in april, more than reversing a march runoff the overall pace of accumulation remained moderate, and buildups were largely concentrated in segments of the economy where market demand was robust.;positive
in manufacturing, inventories increased in april and may after a small drawdown in march.;positive
the rise in stocks was in line with shipments, and the ratio of stocks to shipments stayed at a very low level.;negative
in april (latest available data), wholesale inventories retraced most of the sizable march drawdown.;negative
the ratio of inventories to sales in this sector remained below the range that has prevailed in recent years.;negative
at the retail level, inventory stocks again edged higher the inventory-to-sales ratio for this sector was well within the range observed over the past year.the nominal deficit on u.s. trade in goods and services widened in april but was little changed from the average for the first quarter over the first four months of 1994, the deficit was significantly larger than that recorded in the fourth quarter of last year.;negative
the value of exports of goods and services was down somewhat in april, retracing part of a sharp runup in march.;negative
the uptrend in exports since last fall has been led by shipments of machinery, especially to expanding markets in asia.;negative
the value of imports of goods and services was about the same in april as in march increases in consumer goods, machinery, and oil were offset by declines in other categories.;positive
the economies of all the major foreign industrial countries expanded in the first quarter of 1994. growth resumed in japan, western germany, and france, while economic expansion continued at a healthy pace in the united kingdom and canada.broad indexes of consumer and producer prices had risen moderately through the first five months of the year.;positive
in may, the rise in the overall index of consumer prices continued to be held down by declines in energy prices.;negative
excluding the food and energy components, the increase in consumer prices in the twelve months ending in may was smaller than that for the previous twelve months.;negative
producer prices of finished goods continued to edge lower in may, reflecting further declines in prices of finished foods and energy goods.;negative
producer prices for items other than food and energy increased at a faster rate in may, but the change over the twelve-month period ending in may was very small.;positive
at an earlier stage of processing, producer prices of crude materials other than food and energy registered another small decline in may, although the index was substantially higher in may than a year ago.;negative
furthermore, prices of many basic industrial materials had remained under upward pressure.;negative
average hourly earnings of production or nonsupervisory workers increased by a larger amount in may than in april, but the rise over the twelve months ended in may was about the same as in the previous twelve months.at its meeting on may 17, 1994, the committee adopted a directive that called for increasing somewhat the degree of pressure on reserve positions, taking account of a possible increase in the discount rate.;positive
the directive did not include a presumption about the likely direction of any further adjustment to policy during the intermeeting period.;neutral
the directive stated that in the context of the committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, slightly greater or slightly lesser reserve restraint might be acceptable during the intermeeting period.;neutral
the reserve conditions associated with this directive were expected to be consistent with modest growth of m2 and m3 over coming months.immediately after the conclusion of the may meeting, the board of governors approved a 1/2 percentage point increase in the discount rate, to 3-1/2 percent, and the committee permitted the full amount of the increase to pass through to interest rates in reserve markets.;positive
thereafter, open market operations were conducted with a view to maintaining the less accommodative degree of reserve pressure sought by the committee.;neutral
after the policy change, the federal funds rate rose 1/2 percentage point, to 4-1/4 percent, and remained at about that level over the intermeeting period.;positive
adjustment plus seasonal borrowing trended higher over the intermeeting period, reflecting the usual seasonal pickup in lending activity, and averaged close to anticipated levels.market interest rates on instruments with more than three-month maturities moved lower immediately following the announcement of the committee's action, although some very short-term interest rates moved up.;negative
the commercial bank prime rate also was raised by 1/2 percentage point, to 7-1/4 percent.;positive
market participants apparently interpreted the policy actions and the accompanying announcement as signaling that the system would not take further tightening actions as soon as they had anticipated earlier.;negative
incoming data suggesting sluggish spending and subdued inflation tended to confirm these market assessments.;negative
late in the intermeeting period, however, bond yields retraced these declines, partly in association with a weakening dollar in foreign exchange markets and rising commodity prices.;negative
most major indexes of equity prices rose early in the intermeeting period, but they then moved lower in sympathy with the declines in bond prices and the dollar and ended the period with small losses.the trade-weighted value of the dollar in terms of the other g-10 currencies fell significantly further on balance over the intermeeting period.;negative
the renewed decline, which began toward the middle of june, occurred in response to indications of an improved economic outlook abroad, associated increases in foreign bond yields, and heightened concerns about possible increases in u.s. inflation.;negative
developments suggesting less favorable prospects for progress in u.s. japanese trade negotiations also tended to strengthen the yen against the dollar.the broad monetary aggregates were weaker than the committee anticipated at the time of its previous meeting, with both m2 and m3 declining on average over may and june.;negative
the declines appeared to be related in part to the continuing appeal of capital market instruments.;negative
more generally, however, the rise in short-and long-term interest rates since the beginning of 1994, coupled with the reluctance of banks and other depository institutions to adjust their offering rates promptly, had produced a widening of the opportunity costs of holding deposits and had led households to move deposit monies into direct and indirect holdings of market instruments.;negative
for the year through june, both m2 and m3 were at the bottom of the committee's ranges for 1994, and total domestic nonfinancial debt had expanded at a moderate rate in the lower half of its monitoring range.the staff forecast prepared for this meeting suggested that the economy was operating at a level close to capacity and that the expansion would slow over the next several quarters to a rate generally in line with the growth of the economy's potential.;negative
to the extent that aggregate demand tended to expand at a pace that could foster higher inflation, it would not be accommodated by monetary policy, and pressures would be generated in financial markets that would restrain domestic spending.;negative
consumer spending, which had been increasing faster than household income for some time, was expected to moderate as smaller gains in employment and income, coupled with higher interest rates and reductions in the value of household financial assets, exerted a restraining influence on consumption patterns.;negative
