sentence;sentiment
federal open market committee held on july 5-6, 1994, were approved.the manager for foreign operations reported on developments in foreign exchange markets during the period since the july meeting.;neutral
there were no system open market transactions in foreign currencies during this period, and thus no vote was required of the committee.the manager for domestic operations reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period july 6, 1994, through august 15, 1994. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that the pace of economic expansion, though still substantial, might have slowed somewhat recently.;negative
consumer spending continued to post moderate gains, supported by rising labor income and favorable sentiment.;positive
business outlays for plant and equipment remained on a steep uptrend, but higher interest rates seemed to be having some restraining effect on homebuilding activity.;negative
resource utilization was at elevated levels, with factories operating at relatively high rates and labor markets evidencing very low levels of slack.;positive
increases in broad indexes of consumer and producer prices had remained moderate in recent months, apart from the effects of short-run swings in the volatile food and energy components.nonfarm payroll employment continued to advance at a robust pace in july.;positive
hiring in the services industries remained strong, with personnel supply agencies posting another sizable increase.;positive
jobs also were up substantially in retail trade and construction.;positive
by contrast, employment in manufacturing was held down by strike activity.;negative
the civilian unemployment rate edged up to 6.1 percent in july, little changed from the average for the second quarter.industrial production rose moderately in july after a sizable gain in june a decline in electricity generation from its unusually high weather-related level in june damped the july advance.;positive
manufacturing output was up considerably in july, despite a drop in the production of motor vehicles and parts outside of motor vehicles, increases were widespread, with a very large rise recorded in the output of durable consumer goods.;positive
the overall rate of capacity utilization in manufacturing remained at a high level, with most major industry groups operating at or near capacity.growth in consumer spending had slowed in recent months, owing in part to constraints on the supply of motor vehicles.;negative
nominal retail sales edged lower in july after expanding at a slightly reduced pace in the second quarter.;negative
sales at general merchandise and furniture and appliance stores increased further in july, while purchases at apparel outlets were down after large june increases.;negative
sales at automotive dealerships fell appreciably in july after edging lower in the second quarter these sales declines apparently resulted in part from the inability of manufacturers to produce enough of the most popular models.;negative
housing starts in july retraced part of a large june decline but remained below their elevated rate in the fourth quarter of 1993.business fixed investment expanded in the second quarter at about the same brisk pace as in the first quarter but well below the rate recorded in 1993. in the second quarter, a strong recovery in nonresidential construction activity from the weather-related decline of the first quarter offset a marked slowing in business purchases of durable equipment.;negative
