sentence;sentiment
federal open market committee held on september 27, 1994, were approved.the report of examination of the system open market account, conducted by the board's division of reserve bank operations and payment systems as of the close of business on june 30, 1994, was accepted.the manager for foreign operations reported on developments in foreign exchange markets and on system open market transactions in foreign currencies during the period september 27, 1994, through november 14, 1994. by unanimous vote, the committee ratified these transactions.the manager for domestic operations reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period september 27, 1994, through november 14, 1994. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that the growth of the economy remained substantial.;neutral
consumer spending was robust, business fixed investment continued on a strong upward trend, and housing activity had been well sustained despite the increase in mortgage interest rates over the past year.;positive
business inventory investment had been brisk since the spring, apparently in response to the strong growth in final sales.;positive
further sizable gains had been recorded in industrial production and employment.;positive
increases in labor compensation were still moderate, although there were some tentative signs of wage acceleration associated with the further tightening of labor markets.;positive
prices of many materials continued to move up rapidly, but broad indexes did not indicate a pickup in consumer inflation.nonfarm payroll employment rose appreciably further in october, with job gains widespread by industry.;positive
in the service-producing sector, retail trade posted a particularly large advance while health and business services continued to record moderate increases.;positive
manufacturing employment was up in october after having been unchanged in september the rise was related partly to continued job growth in automobile-and construction-related industries, but payrolls also expanded in a number of other industries, including textiles, paper, rubber, and plastics.;positive
construction hiring slowed after a large rise in september.;negative
employment, as measured by the household survey, increased by more than the labor force in october, and the civilian unemployment rate edged down to 5.8 percent.industrial production increased substantially in october after having posted appreciable advances on balance in previous months.;negative
manufacturing output accounted for all of the october rise as production declined again in the mining and utilities components.;negative
in manufacturing, the pace of motor vehicle assemblies was unchanged, but production in automotive-related industries was stepped up noticeably and output of business equipment continued to expand vigorously.;positive
total utilization of industrial capacity climbed further in october from already elevated rates.consumer confidence remained at a high level, and retail sales continued to rise rapidly in october.;positive
automotive dealers reported a large increase in sales, but strength also was evident elsewhere: furniture and appliance stores posted another appreciable gain apparel outlets registered a brisk rise and spending at food and general merchandise stores grew moderately.;positive
housing starts rose appreciably in september, reaching their highest level of the year.;positive
sales of new and existing homes were stronger in september, despite the higher interest rates on both fixed-and adjustable-rate mortgages that had prevailed since earlier in the year.business capital spending remained on a solid uptrend.;positive
shipments of nondefense capital goods were brisk during the third quarter, and with orders continuing to exceed shipments, already large backlogs increased further for most types of business equipment.;negative
spending for transportation equipment grew at a healthy rate in the third quarter purchases of heavy trucks persisted at a very high level, and spending for motor vehicles picked up after a second-quarter lull.;positive
nonresidential construction activity advanced at a reduced pace in the third quarter however, permits for new construction continued to trend higher.business inventory investment apparently continued at a brisk pace in the third quarter, with much of the accumulation occurring in types of goods where sales were strong.;positive
