sentence;sentiment
federal open market committee held on august 16, 1994, were approved.by unanimous vote, the committee elected frederic s. mishkin as associate economist from the federal reserve bank of new york, to serve until the next election at the first meeting of the committee after december 31, 1994, with the understanding that in the event of his discontinuance of his official connection with the federal reserve bank of new york he would cease to have any official connection with the federal open market committee.the manager for foreign operations reported on developments in foreign exchange markets during the period since the august meeting.;neutral
there were no system open market transactions in foreign currencies during this period, and thus no vote was required of the committee.the manager for domestic operations reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period august 16, 1994, through september 26, 1994. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that the pace of economic expansion remained substantial, though it appeared to have moderated slightly in recent months.;positive
final sales, especially of consumer goods, had firmed during the summer months while inventory investment apparently had slowed after a second-quarter surge.;negative
manufacturing activity, bolstered by a pickup in production of motor vehicles, had been rising briskly, and the trend of payroll hiring remained strong.;positive
increases in broad indexes of consumer and producer prices had been somewhat larger in recent months, and prices of materials had remained under considerable upward pressure.nonfarm payroll employment advanced appreciably further in august, though at a somewhat less rapid rate than the average pace in earlier months of the year.;positive
the slowdown in hiring in august was concentrated in retail trade, where employment was little changed after large gains in the two prior months, and in construction, where it fell slightly.;negative
in manufacturing, employment was up considerably after essentially no change in july while much of the strength was related to a pickup in the production of motor vehicles, hiring was up in a number of other industries as well.;positive
the average workweek of production or nonsupervisory workers declined in august from july's relatively high level, but for the two months combined the average hours worked was well above the second-quarter level.;negative
both household employment and the labor force surged in august, and the civilian unemployment rate was unchanged at 6.1 percent.industrial production rose sharply in august after sizable gains in previous months.;positive
the august advance reflected a large increase in manufacturing output that was partly offset by declines in mining production and electricity generation much of the strength in manufacturing resulted from a large rise in the output of motor vehicles stemming from unusually rapid retooling for the new model year.;positive
elsewhere in manufacturing, production of office and computing equipment continued to expand briskly, and output of industrial equipment was up significantly.;positive
total utilization of industrial capacity rose further in august from already high levels.consumer spending remained on a solid upward trend.;positive
retail sales rose considerably in august after holding steady in july.;positive
sales of goods other than motor vehicles registered sizable increases in both july and august.;positive
sales of motor vehicles, which had been constrained in recent months by shortages of popular domestic models, rebounded in august.;positive
housing starts in july and august averaged slightly less than their second-quarter rate.;negative
single-family starts had leveled off in recent months after declining earlier in the year multifamily starts, though erratic from month to month, had been drifting higher.the limited data available for the third quarter suggested that growth of real business fixed investment, though still strong, continued to slow from the very rapid pace of 1993. shipments of nondefense capital goods declined in july, offsetting much of a large june advance.;negative
however, orders for nondefense capital goods were up significantly on balance in june and july, pointing to continued brisk expansion in business spending on durable equipment.;positive
nonresidential construction activity increased further in july, and permits for such construction remained on a mild uptrend.the growth in business inventories slowed markedly in july after surging in the second quarter.;negative
the july deceleration reflected a sizable reduction in retail inventories, principally automotive and general merchandise stocks.;negative
for the retail sector as a whole, the inventory-to-sales ratio declined sharply in july to about the middle of the range seen in recent years.;negative
at the wholesale level, inventories increased substantially, both in july and over the second quarter, and the overall inventory-to-sales ratio edged up in july toward the middle of the range for this ratio in recent years.;positive
inventory investment also picked up in manufacturing, where much of the july accumulation represented stocks of materials, supplies, and work-in-progress.;positive
the run-up in stocks was accompanied by a drop in factory shipments, and as a result, the inventory-shipments ratio recorded an unusually steep rise.the nominal deficit on u.s. trade in goods and services widened substantially further in july after a large increase in the second quarter.;negative
the value of exports of goods and services slipped in july from a relatively high level in june, while the value of imports in july changed little from june.;negative
economic activity in all of the foreign g-7 industrial countries except japan expanded rapidly in the second quarter, and available indicators suggested that strong growth continued on average in the third quarter.;positive
in japan, activity contracted in the second quarter, reflecting weakness in consumption and business investment the limited data available for the third quarter suggested that growth in that country might have resumed.consumer prices rose a little faster in july and august than their average pace for the first half of the year.;negative
the recent pickup in consumer inflation reflected large increases in energy prices as well as somewhat higher food prices excluding the food and energy components, consumer price advances had remained moderate.;positive
prices rose briskly at the producer level in july and august as prices of finished energy goods surged and prices of finished foods turned up after declining over the first half of the year.;positive
for items other than finished foods and energy, the increase over the july-august period was a little faster than in the first half of the year.;positive
recent data indicated little change in wage trends.;negative
average hourly earnings of production or nonsupervisory workers rose in august at about the rate observed over the previous twelve months.at its meeting on august 16, 1994, the committee adopted a directive that called for increasing somewhat the degree of pressure on reserve positions, taking account of a possible rise in the discount rate.;positive
the committee did not include in the directive any presumption about further adjustments to policy during the intermeeting period.;neutral
accordingly, the directive stated that in the context of the committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, slightly greater reserve restraint or slightly lesser reserve restraint would be acceptable during the intermeeting period.;neutral
