sentence;sentiment
federal open market committee held on december 22, 1992, were approved.the deputy manager for foreign operations reported on developments in foreign exchange markets during the period december 22, 1992, through february 2, 1993. there were no system open market transactions in foreign currencies during this period, and thus no vote was required of the committee.the manager of the system open market account reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period december 22, 1992, through february 2, 1993. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic outlook, the ranges for the growth of money and debt in 1993, and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting indicated that economic activity rose appreciably further in the fourth quarter.;positive
final demands were buoyed by strength in consumption, business spending for durable equipment, and residential construction.;positive
manufacturing activity also increased considerably, and employment appeared to be on a modest upward trajectory, despite a continuing flow of announcements of layoffs by large corporations.;positive
although recent data on wages and prices had been mixed, on balance they suggested that inflation was trending gradually lower.total nonfarm payroll employment registered a small increase in december for the fourth consecutive month.;positive
service industries, notably business and health services, and retail trade accounted for nearly all of the rise in jobs.;negative
manufacturing and construction payrolls changed little, and government employment fell as temporary election workers were dropped from payrolls.;negative
the civilian unemployment rate remained at 7.3 percent, almost 1/2 percentage point below its mid-year peak but slightly above its level at the beginning of the year.industrial production advanced further in december and was up considerably over the fourth quarter as a whole.;positive
motor vehicle assemblies rose sharply during the quarter strong gains also were registered in business equipment, partly reflecting a further jump in output of computers, and in nondurable consumer goods.;positive
by contrast, the production of durable consumer goods other than motor vehicles was lower on balance after changing little over the third quarter, and the output of defense and space equipment remained on a downward trend.;negative
total utilization of industrial capacity increased significantly in the fourth quarter and for the year as a whole.consumer spending was up substantially in the fourth quarter.;positive
retail sales, after rising sharply in october and changing little in november, posted a further sizable increase in december.;positive
the largest sales gains in the fourth quarter were reported at automotive dealers and at building material and supply outlets, but most other types of retail stores also recorded higher sales.;positive
by contrast, consumer spending for services, as indicated by data on personal consumption expenditures, rose more slowly.;positive
housing starts surged in december, with single family starts reaching their highest level in nearly three years and multifamily starts picking up slightly from the very low levels of october and november.;positive
sales of new and existing homes remained on a strong upward trend in december.real outlays for business fixed investment apparently registered a notable gain in the fourth quarter, particularly for producers' durable equipment.;positive
shipments of nondefense capital goods rose in november and december after changing little in october for the quarter as a whole, shipments advanced substantially, with increases widespread by category.;positive
business purchases of cars and trucks were up sharply in the fourth quarter, while nonresidential construction activity retraced a small part of a third-quarter decline.business inventories expanded moderately in november as a sizable drop in manufacturing inventories was more than offset by increases in wholesale and retail inventories.;positive
at the manufacturing level, the drawdown of stocks was associated with strong shipments of durable goods, and inventory-to-shipments ratios in most industries were at or near the bottom of their recent ranges.;negative
in the wholesale sector, sizable inventory increases were reported in november for a second straight month most of the buildup was limited to machinery, motor vehicles, and miscellaneous nondurable goods.;negative
with stocks rising in line with sales since september, the stock-to-sales ratio in wholesaling remained at the low end of its range over the past year.;negative
retail inventories increased moderately further in november the inventory-to-sales ratio for the sector was slightly below its average for previous months of the year.the nominal u.s. merchandise trade deficit widened slightly in november.;negative
for october and november together, however, the deficit narrowed a little from its average rate in the third quarter, as the value of exports rose more than the value of imports.;positive
most of the increase in exports was in capital goods, both machinery and aircraft, and in consumer goods.;neutral
passenger cars accounted for a considerable part of the rise in imports, while the inflow of consumer goods eased from the very strong pace of the third quarter.;negative
recent indicators suggested that economic activity had remained weak in the major foreign industrial countries and that unemployment rates had increased further in most of those countries.;negative
the recovery in canada appeared to be continuing, but the downturn in western germany and japan evidently had persisted into the fourth quarter.a small november decline in producer prices of finished goods was reversed in december, with a rebound in prices of finished foods outweighing a further drop in energy prices.;positive
for finished items other than food and energy, producer prices rose in december, but the advance followed six months of no change on balance for 1992 as a whole, this measure of prices increased by a considerably smaller amount than in 1991. at the consumer level, the index for prices of nonfood, non-energy items edged higher in december after somewhat larger increases in the two preceding months.;positive
the rise in this index in 1992 was the smallest for any year since the early 1970s, when wage and price controls were in effect.;negative
