Date;Year;Month;Type;sentiment;sentiment_score;sentence
2016-01-21;2016;January;REPORT;Positive;0.8098866939544678;introductory statement to the press conference with qa mario draghi president of the ecb vítor constâncio vicepresident of the ecbfrankfurt am main 21 january 2016 jump to the transcript of the questions and answers ladies and gentlemen first of all let me wish you a happy new year
2016-01-21;2016;January;REPORT;Neutral;0.49783650040626526;the vicepresident and i are very pleased to welcome you to our press conference
2016-01-21;2016;January;REPORT;Neutral;0.9634347558021545;we will now report on the outcome of todays meeting of the governing council which was also attended by the commission vicepresident mr dombrovskis
2016-01-21;2016;January;REPORT;Neutral;0.6573753952980042;based on our regular economic and monetary analyses and after the recalibration of our monetary policy measures last month we decided to keep the key ecb interest rates unchanged and we expect them to remain at present or lower levels for an extended period of time
2016-01-21;2016;January;REPORT;Negative;0.7841064929962158;regarding our nonstandard monetary policy measures the asset purchases are proceeding smoothly and continue to have a favourable impact on the cost and availability of credit for firms and households
2016-01-21;2016;January;REPORT;Neutral;0.9844774007797241;taking stock of the evidence available at the beginning of 2016 it is clear that the monetary policy measures that we have adopted since mid2014 are working
2016-01-21;2016;January;REPORT;Positive;0.9913410544395447;as a result developments in the real economy credit provision and financing conditions have improved and have strengthened the euro areas resilience to recent global economic shocks
2016-01-21;2016;January;REPORT;Neutral;0.9891971945762634;the decisions taken in early december to extend our monthly net asset purchases of 60 billion to at least the end of march 2017 and to reinvest the principal payments on maturing securities for as long as necessary were fully appropriate
2016-01-21;2016;January;REPORT;Positive;0.969903826713562;they will result in a significant addition of liquidity to the banking system and will strengthen our forward guidance on interest rates
2016-01-21;2016;January;REPORT;Negative;0.9852421879768372;yet as we start the new year downside risks have increased again amid heightened uncertainty about emerging market economies growth prospects volatility in financial and commodity markets and geopolitical risks
2016-01-21;2016;January;REPORT;Negative;0.9941421151161194;in this environment euro area inflation dynamics also continue to be weaker than expected
2016-01-21;2016;January;REPORT;Neutral;0.9845222234725952;it will therefore be necessary to review and possibly reconsider our monetary policy stance at our next meeting in early march when the new staff macroeconomic projections become available which will also cover the year 2018 in the meantime work will be carried out to ensure that all the technical conditions are in place to make the full range of policy options available for implementation if needed
2016-01-21;2016;January;REPORT;Neutral;0.935492992401123;let me now explain our assessment in greater detail starting with the economic analysis
2016-01-21;2016;January;REPORT;Negative;0.9712863564491272;euro area real gdp growth was confirmed at 03 quarter on quarter in the third quarter of 2015 supported mainly by private consumption while being dampened by a negative contribution from net exports
2016-01-21;2016;January;REPORT;Positive;0.9917814135551453;the most recent survey indicators available up to december point to ongoing real gdp growth momentum in the fourth quarter of last year
2016-01-21;2016;January;REPORT;Positive;0.9094187021255493;looking ahead we expect the economic recovery to proceed
2016-01-21;2016;January;REPORT;Positive;0.9787085652351379;domestic demand should be further supported by our monetary policy measures and their favourable impact on financial conditions as well as by the earlier progress made with fiscal consolidation and structural reforms
2016-01-21;2016;January;REPORT;Positive;0.9754455089569092;moreover the renewed fall in oil prices should provide additional support for households real disposable income and corporate profitability and therefore for private consumption and investment
2016-01-21;2016;January;REPORT;Neutral;0.964875340461731;in addition the fiscal stance in the euro area is becoming slightly expansionary reflecting in particular measures in support of refugees
2016-01-21;2016;January;REPORT;Negative;0.992879331111908;however the economic recovery in the euro area continues to be dampened by subdued growth prospects in emerging markets volatile financial markets the necessary balance sheet adjustments in a number of sectors and the sluggish pace of implementation of structural reforms
2016-01-21;2016;January;REPORT;Negative;0.9832862615585327;the risks to the euro area growth outlook remain on the downside and relate in particular to the heightened uncertainties regarding developments in the global economy as well as to broader geopolitical risks
2016-01-21;2016;January;REPORT;Negative;0.9858108758926392;these risks have the potential to weigh on global growth and foreign demand for euro area exports and on confidence more widely
2016-01-21;2016;January;REPORT;Neutral;0.9893726706504822;euro area annual hicp inflation was 02 in december 2015 compared with 01 in november
