sentence;sentiment
federal open market committee held on march 26, 1996, were approved.the manager of the system open market account reported on developments in foreign exchange markets during the period march 26 through may 20, 1996. there were no open market transactions in foreign currencies for system account during this period, and thus no vote was required of the committee.the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period march 26 through may 20, 1996. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that economic activity had expanded moderately on balance in recent months.;neutral
final demand, which had been quite robust early in the year, was showing some signs of slowing in recent data.;negative
consumer spending appeared to be growing at a moderate pace business expenditures on durable equipment had registered further large gains, though new orders had flattened out and housing demand seemed to be holding up well despite the increase in mortgage interest rates this year.;positive
business inventories, most notably in the automotive industry, had been brought into better alignment with sales, and industrial production and employment had risen appreciably.;positive
upward pressures on food and energy prices accounted for somewhat larger increases in consumer prices.nonfarm payroll employment was essentially unchanged in april after rising substantially in the first quarter part of the slowdown resulted from an unwinding of special factors that had boosted job growth in the first quarter.;negative
payrolls continued to expand in april in retail trade finance, insurance, and real estate and the services industries.;positive
in contrast, cmployment in construction fell sharply, reversing much of the large first-quarter gain.;negative
in manufacturing, employment declined further in april despite the settlement of a major strike in the automotive sector and the return of affected workers to their jobs.;negative
the civilian unemployment rate fell to 5.4 percent.industrial production rebounded in april from an appreciable decline in march.;negative
the changes in industrial output over the two-month period largely reflected fluctuations in motor vehicle assemblies associated with a strike and its subsequent settlement.;negative
manufacturing of products other than motor vehicles rose moderately in april on the strength of further large advances in the output of office and computing equipment and of construction supplies.;positive
utilization of total industrial capacity, which had varied in recent months in concert with movements in production, climbed in april to a rate slightly above that of the fourth quarter of 1995.retail sales declined somewhat in april after posting a strong gain in the first quarter.;negative
sales of durable goods, which had increased substantially in the first quarter, retraced part of that advance in april the drop more than offset a further rise in sales of nondurable goods.;positive
