Date;Year;Month;Type;sentiment;sentiment_score;sentence
2010-01-14;2010;January;REPORT;Positive;0.7436479926109314;introductory statement with qa jeanclaude trichet president of the ecblucas papademos vice president of the ecbfrankfurt 14 january 2010 jump to the transcript of the questions and answers ladies and gentlemen the vicepresident and i are very pleased to welcome you to our first press conference in 2010 let me take this opportunity to wish you all a happy new year
2010-01-14;2010;January;REPORT;Neutral;0.9578161835670471;we will now report on the outcome of todays meeting of the governing council which was also attended by commissioner almunia
2010-01-14;2010;January;REPORT;Neutral;0.9930746555328369;based on its regular economic and monetary analyses the governing council decided to leave the key ecb interest rates unchanged
2010-01-14;2010;January;REPORT;Neutral;0.9819861650466919;the current rates remain appropriate
2010-01-14;2010;January;REPORT;Neutral;0.972806990146637;taking into account all the information and analyses that have become available since our meeting on 3 december 2009 price developments are expected to remain subdued over the policyrelevant horizon
2010-01-14;2010;January;REPORT;Positive;0.9870131611824036;the latest information has also confirmed that towards the end of 2009 euro area economic activity continued to expand
2010-01-14;2010;January;REPORT;Negative;0.700739860534668;however some of the factors supporting the growth in real gdp are of a temporary nature
2010-01-14;2010;January;REPORT;Negative;0.9902645349502563;overall the governing council expects the euro area economy to grow at a moderate pace in 2010 recognising that the recovery process is likely to be uneven and that the outlook remains subject to uncertainty
2010-01-14;2010;January;REPORT;Negative;0.4774695932865143;the outcome of the monetary analysis confirms the assessment of low inflationary pressure over the medium term given the ongoing parallel decline in money and credit growth
2010-01-14;2010;January;REPORT;Positive;0.9268136620521545;all in all we expect price stability to be maintained over the medium term thereby supporting the purchasing power of euro area households
2010-01-14;2010;January;REPORT;Neutral;0.989439070224762;medium to longerterm inflation expectations remain firmly anchored in line with the governing councils aim of keeping inflation rates below but close to 2 over the medium term
2010-01-14;2010;January;REPORT;Neutral;0.935492992401123;let me now explain our assessment in greater detail starting with the economic analysis
2010-01-14;2010;January;REPORT;Positive;0.9893901944160461;following the 04 quarteronquarter increase in real gdp in the third quarter of 2009 the latest information confirms that towards the end of last year economic activity in the euro area continued to expand
2010-01-14;2010;January;REPORT;Positive;0.9920742511749268;the euro area has been benefiting from a turn in the inventory cycle and a recovery in exports as well as from the significant macroeconomic stimulus under way and the measures adopted to restore the functioning of the financial system
2010-01-14;2010;January;REPORT;Neutral;0.9535765051841736;however a number of the supporting factors are of a temporary nature
2010-01-14;2010;January;REPORT;Negative;0.9664403200149536;furthermore there is likely to be a drag on activity for some time to come on account of the ongoing process of balance sheet adjustment in the financial and nonfinancial sectors both inside and outside the euro area
2010-01-14;2010;January;REPORT;Negative;0.9862100481987;in addition low capacity utilisation rates are likely to dampen investment and unemployment in the euro area is expected to increase somewhat further thereby lowering consumption growth
2010-01-14;2010;January;REPORT;Negative;0.9768983721733093;for these reasons the euro area economy is expected to grow only at a moderate pace in 2010 and the recovery process could be uneven
2010-01-14;2010;January;REPORT;Neutral;0.9660271406173706;the governing council continues to view the risks to this outlook as broadly balanced
2010-01-14;2010;January;REPORT;Positive;0.9916632175445557;on the upside there may be stronger than anticipated effects stemming from the extensive macroeconomic stimulus being provided and from other policy measures taken
2010-01-14;2010;January;REPORT;Positive;0.992030143737793;confidence may also improve further and the global economy as well as foreign trade may recover more strongly than projected
2010-01-14;2010;January;REPORT;Negative;0.9786592125892639;on the downside concerns remain relating to a stronger or more protracted than expected negative feedback loop between the real economy and the financial sector renewed increases in oil and other commodity prices the intensification of protectionist pressures and the possibility of disruptive market movements related to the correction of global imbalances
2010-01-14;2010;January;REPORT;Neutral;0.9841521978378296;with regard to price developments as expected euro area annual hicp inflation increased further in december 2009 to stand at 09 after 05 in november
2010-01-14;2010;January;REPORT;Neutral;0.8783345818519592;the rise mainly reflects upward base effects stemming mostly from the drop in global energy prices a year ago
2010-01-14;2010;January;REPORT;Neutral;0.9833714365959167;inflation is expected to remain around 1 in the near term
2010-01-14;2010;January;REPORT;Negative;0.992486834526062;looking further ahead inflation is expected to remain moderate over the policyrelevant horizon with overall price cost and wage developments staying subdued in line with a slow recovery in demand in the euro area and elsewhere
2010-01-14;2010;January;REPORT;Neutral;0.988610029220581;in this context it is important to emphasise once again that inflation expectations over the medium to longer term remain firmly anchored in line with the governing councils aim of keeping inflation rates below but close to 2 over the medium term
2010-01-14;2010;January;REPORT;Neutral;0.8692217469215393;risks to this outlook remain broadly balanced
2010-01-14;2010;January;REPORT;Neutral;0.9600492715835571;they relate in particular to the outlook for economic activity and the evolution of commodity prices
2010-01-14;2010;January;REPORT;Positive;0.987246036529541;furthermore increases in indirect taxation and administered prices may be stronger than currently expected owing to the need for fiscal consolidation in the coming years
